times_utc,out1(t+0),out1(t+1),out1(t+2),out1(t+3)
2023-08-30 02:00:00,-0.3387687,-0.45790854,-0.45894364,-0.4525083
2023-08-30 02:15:00,-0.3324624,-0.4370068,-0.42847168,-0.4194296
2023-08-30 02:30:00,-0.32512116,-0.41730407,-0.40074316,-0.39023688
2023-08-30 02:45:00,-0.31798628,-0.40034804,-0.37660307,-0.3651063
2023-08-30 03:00:00,-0.31063902,-0.3861581,-0.35561544,-0.34308213
2023-08-30 03:15:00,-0.3024082,-0.37433168,-0.33720455,-0.32334778
2023-08-30 03:30:00,-0.29263732,-0.36386436,-0.32018238,-0.3045798
2023-08-30 03:45:00,-0.2809052,-0.35335556,-0.30288646,-0.28505343
2023-08-30 04:00:00,-0.2666557,-0.34009418,-0.28149584,-0.2604413
2023-08-30 04:15:00,-0.24896741,-0.3201703,-0.25011727,-0.2237186
2023-08-30 04:30:00,-0.22676119,-0.28950995,-0.20254181,-0.16713709
2023-08-30 04:45:00,-0.19710137,-0.23970403,-0.12515686,-0.07273307
2023-08-30 05:00:00,-0.15442908,-0.15638576,0.0064753513,0.09370646
2023-08-30 05:15:00,-0.09539049,-0.031027518,0.2087922,0.35969293
2023-08-30 05:30:00,0.3564325,0.57891095,0.9970893,1.3043859
2023-08-30 05:45:00,0.51362914,0.8702389,1.4631181,1.9612486
2023-08-30 06:00:00,0.7757952,1.3138304,2.1443594,2.923537
2023-08-30 06:15:00,1.8464136,2.7941768,4.1693883,5.6190767
2023-08-30 06:30:00,3.1105573,4.549641,6.611948,8.968633
2023-08-30 06:45:00,5.43957,7.71831,10.931593,14.761917
2023-08-30 07:00:00,6.2518167,8.856848,12.474287,16.821104
2023-08-30 07:15:00,10.225811,14.039482,19.05482,24.677883
2023-08-30 07:30:00,15.192188,20.13779,25.988838,31.090515
2023-08-30 07:45:00,16.064125,20.996235,26.171879,30.177334
2023-08-30 08:00:00,22.567251,27.54247,30.926386,32.133766
2023-08-30 08:15:00,30.649363,33.2202,33.40631,33.13778
2023-08-30 08:30:00,35.21086,34.92619,34.169617,33.787296
2023-08-30 08:45:00,34.43982,34.1697,33.833084,33.482487
2023-08-30 09:00:00,33.401943,33.5957,33.601433,33.279556
2023-08-30 09:15:00,33.291103,33.595985,33.67964,33.37549
2023-08-30 09:30:00,33.600197,33.82937,33.84668,33.53963
2023-08-30 09:45:00,33.930313,34.020332,33.929024,33.609867
2023-08-30 10:00:00,34.112156,34.065132,33.88135,33.558372
2023-08-30 10:15:00,34.10225,33.959454,33.721577,33.409172
2023-08-30 10:30:00,33.936638,33.75338,33.501453,33.21116
2023-08-30 10:45:00,33.689804,33.51005,33.274136,33.009743
2023-08-30 11:00:00,33.436317,33.279507,33.074688,32.83073
2023-08-30 11:15:00,33.237568,33.106216,32.940342,32.7103
2023-08-30 11:30:00,33.12854,33.017067,32.89554,32.675674
2023-08-30 11:45:00,32.77242,32.67766,32.61708,32.41615
2023-08-30 12:00:00,31.794258,31.723932,31.749863,31.588066
2023-08-30 12:15:00,31.073421,31.066404,31.193575,31.084145
2023-08-30 12:30:00,30.910164,30.980244,31.209812,31.153425
2023-08-30 12:45:00,30.90097,31.019072,31.33382,31.318659
2023-08-30 13:00:00,31.351217,31.500858,31.875,31.8807
2023-08-30 13:15:00,33.10678,33.247032,33.63246,33.626617
2023-08-30 13:30:00,33.755608,33.76827,34.116127,34.070354
2023-08-30 13:45:00,34.007805,33.943745,34.257095,34.17352
2023-08-30 14:00:00,34.399704,34.30589,34.591103,34.47855
2023-08-30 14:15:00,34.618286,34.527283,34.790874,34.657
2023-08-30 14:30:00,36.737606,36.647587,36.867077,36.716496
2023-08-30 14:45:00,37.378654,37.268597,37.418438,37.22119
2023-08-30 15:00:00,37.710022,37.656487,37.737133,37.477005
2023-08-30 15:15:00,38.3064,38.288986,38.252506,37.8825
2023-08-30 15:30:00,39.03163,38.95009,38.705944,38.147667
2023-08-30 15:45:00,39.147457,38.88477,38.33899,37.4998
2023-08-30 16:00:00,37.229225,36.69076,35.756294,34.505154
2023-08-30 16:15:00,37.004307,35.94365,34.509544,32.769707
2023-08-30 16:30:00,37.758747,35.98873,33.997765,31.766722
2023-08-30 16:45:00,37.238605,34.744904,32.172436,29.408709
2023-08-30 17:00:00,39.742184,36.247967,33.1947,30.12305
2023-08-30 17:15:00,37.955566,33.897205,30.343584,26.80401
2023-08-30 17:30:00,36.311222,31.67712,27.791779,23.962555
2023-08-30 17:45:00,32.877293,27.98602,23.957533,20.025723
2023-08-30 18:00:00,25.680462,21.134567,17.428694,13.938887
2023-08-30 18:15:00,20.362581,16.422588,13.441709,10.66054
2023-08-30 18:30:00,15.73159,12.684423,10.487739,8.370209
2023-08-30 18:45:00,9.4318285,7.906726,6.757232,5.491636
2023-08-30 19:00:00,6.725143,5.8673615,5.1926355,4.3010273
2023-08-30 19:15:00,6.1342425,5.3151894,4.7402296,3.9564462
2023-08-30 19:30:00,5.796192,4.9358196,4.4091496,3.7019148
2023-08-30 19:45:00,5.588762,4.662582,4.1587315,3.5067916
2023-08-30 20:00:00,3.9282641,3.3140366,3.0086598,2.5606773
2023-08-30 20:15:00,3.486771,2.8987775,2.645621,2.269773
2023-08-30 20:30:00,2.685282,2.2295766,2.0658212,1.7900052
2023-08-30 20:45:00,2.3896105,1.9702191,1.8371686,1.6048236
2023-08-30 21:00:00,2.21819,1.8275788,1.709369,1.5027548
2023-08-30 21:15:00,1.5324509,1.2688437,1.2166196,1.0813003
2023-08-30 21:30:00,1.3365749,1.1249617,1.0942748,0.98564667
2023-08-30 21:45:00,1.2393616,1.0673456,1.0473039,0.9548836
2023-08-30 22:00:00,1.1779854,1.0410651,1.0274873,0.9475374
2023-08-30 22:15:00,1.1320648,1.0253563,1.0151045,0.9453013
2023-08-30 22:30:00,1.092924,1.0084691,0.9971571,0.9342066
2023-08-30 22:45:00,1.0557172,0.983761,0.966672,0.9067436
2023-08-30 23:00:00,1.0180794,0.9487313,0.9217877,0.86116284
2023-08-30 23:15:00,0.9798676,0.9041104,0.86412305,0.79935926
2023-08-30 23:30:00,1.5858698,1.4870808,1.4019755,1.2908112
2023-08-30 23:45:00,1.6847631,1.5529732,1.4351323,1.2995878
2023-08-31 00:00:00,1.6758748,1.5118217,1.3664323,1.2113353
2023-08-31 00:15:00,1.6424537,1.4485481,1.2809895,1.109493
2023-08-31 00:30:00,1.6083891,1.3895252,1.2053502,1.0201792
2023-08-31 00:45:00,1.5788774,1.3417037,1.1465707,0.950669
2023-08-31 01:00:00,1.5553561,1.3070861,1.106159,0.9023143
2023-08-31 01:15:00,1.5385432,1.2867365,1.084793,0.8756841
2023-08-31 01:30:00,0.82159215,0.57466847,0.41737002,0.2643706
2023-08-31 01:45:00,0.6595759,0.45221445,0.32012117,0.1819372
2023-08-31 02:00:00,0.63283205,0.46064466,0.3441991,0.20935945
2023-08-31 02:15:00,-0.1318866,-0.25539103,-0.30674613,-0.37090278
2023-08-31 02:30:00,-0.30425525,-0.36570886,-0.38912815,-0.4384454
2023-08-31 02:45:00,-0.45230985,-0.46732652,-0.46877518,-0.50583065
